,Unnamed: 0_x,cat,text,total_count_x,book_title_x,count_x,Unnamed: 0_y,total_count_y,book_title_y,supersense_category,count_y,_merge
2403,,,Fairy Hill,,,,1107,1,the_yellow_fairy_book_preface,noun.location,1,right_only
2404,690.0,GPE,Fairy Land,6.0,the_fairy_mythology,1.0,1108,5,the_fairy_mythology,noun.location,2,both
2405,691.0,GPE,Fairy Land,6.0,the_red_fairy_book,1.0,1108,5,the_fairy_mythology,noun.location,2,both
2406,692.0,GPE,Fairy Land,6.0,the_yellow_fairy_book_preface,1.0,1108,5,the_fairy_mythology,noun.location,2,both
2407,4371.0,LOC,Fairy Land,6.0,the_fairy_mythology,1.0,1108,5,the_fairy_mythology,noun.location,2,both
2408,4372.0,LOC,Fairy Land,6.0,the_red_fairy_book_preface,1.0,1108,5,the_fairy_mythology,noun.location,2,both
2409,4373.0,LOC,Fairy Land,6.0,the_yellow_fairy_book,1.0,1108,5,the_fairy_mythology,noun.location,2,both
2410,690.0,GPE,Fairy Land,6.0,the_fairy_mythology,1.0,1109,5,the_red_fairy_book,noun.location,1,both
2411,691.0,GPE,Fairy Land,6.0,the_red_fairy_book,1.0,1109,5,the_red_fairy_book,noun.location,1,both
2412,692.0,GPE,Fairy Land,6.0,the_yellow_fairy_book_preface,1.0,1109,5,the_red_fairy_book,noun.location,1,both
2413,4371.0,LOC,Fairy Land,6.0,the_fairy_mythology,1.0,1109,5,the_red_fairy_book,noun.location,1,both
2414,4372.0,LOC,Fairy Land,6.0,the_red_fairy_book_preface,1.0,1109,5,the_red_fairy_book,noun.location,1,both
2415,4373.0,LOC,Fairy Land,6.0,the_yellow_fairy_book,1.0,1109,5,the_red_fairy_book,noun.location,1,both
2416,690.0,GPE,Fairy Land,6.0,the_fairy_mythology,1.0,1110,5,the_red_fairy_book_preface,noun.location,1,both
2417,691.0,GPE,Fairy Land,6.0,the_red_fairy_book,1.0,1110,5,the_red_fairy_book_preface,noun.location,1,both
2418,692.0,GPE,Fairy Land,6.0,the_yellow_fairy_book_preface,1.0,1110,5,the_red_fairy_book_preface,noun.location,1,both
2419,4371.0,LOC,Fairy Land,6.0,the_fairy_mythology,1.0,1110,5,the_red_fairy_book_preface,noun.location,1,both
2420,4372.0,LOC,Fairy Land,6.0,the_red_fairy_book_preface,1.0,1110,5,the_red_fairy_book_preface,noun.location,1,both
2421,4373.0,LOC,Fairy Land,6.0,the_yellow_fairy_book,1.0,1110,5,the_red_fairy_book_preface,noun.location,1,both
2422,690.0,GPE,Fairy Land,6.0,the_fairy_mythology,1.0,1111,5,the_yellow_fairy_book_preface,noun.location,1,both
2423,691.0,GPE,Fairy Land,6.0,the_red_fairy_book,1.0,1111,5,the_yellow_fairy_book_preface,noun.location,1,both
2424,692.0,GPE,Fairy Land,6.0,the_yellow_fairy_book_preface,1.0,1111,5,the_yellow_fairy_book_preface,noun.location,1,both
2425,4371.0,LOC,Fairy Land,6.0,the_fairy_mythology,1.0,1111,5,the_yellow_fairy_book_preface,noun.location,1,both
2426,4372.0,LOC,Fairy Land,6.0,the_red_fairy_book_preface,1.0,1111,5,the_yellow_fairy_book_preface,noun.location,1,both
2427,4373.0,LOC,Fairy Land,6.0,the_yellow_fairy_book,1.0,1111,5,the_yellow_fairy_book_preface,noun.location,1,both
2428,,,Fairy Land So,,,,1112,1,the_yellow_fairy_book,noun.group,1,right_only
2429,,,Fairy Mythology,,,,1113,1,the_fairy_mythology,noun.location,1,right_only
2430,,,Fairy Palace,,,,1114,1,the_green_fairy_book,noun.location,1,right_only
2431,,,Fairy Well,,,,1115,1,fairy_and_folk_tales_of_the_irish_peasantry,noun.location,1,right_only
2432,4374.0,LOC,Fairy land,1.0,the_fairy_mythology,1.0,1116,1,the_fairy_mythology,noun.location,1,both
2433,4375.0,LOC,Fairy thrall,4.0,fairy_and_folk_tales_of_the_irish_peasantry,4.0,1117,3,fairy_and_folk_tales_of_the_irish_peasantry,noun.location,3,both
2434,693.0,GPE,Fairyland,8.0,fairy_realm,2.0,1118,10,fairy_realm,noun.location,1,both
2435,694.0,GPE,Fairyland,8.0,the_blue_fairy_book,2.0,1118,10,fairy_realm,noun.location,1,both
2436,695.0,GPE,Fairyland,8.0,the_fairy_book,3.0,1118,10,fairy_realm,noun.location,1,both
2437,4376.0,LOC,Fairyland,8.0,the_green_fairy_book,1.0,1118,10,fairy_realm,noun.location,1,both
2438,693.0,GPE,Fairyland,8.0,fairy_realm,2.0,1119,10,the_blue_fairy_book,noun.location,2,both
2439,694.0,GPE,Fairyland,8.0,the_blue_fairy_book,2.0,1119,10,the_blue_fairy_book,noun.location,2,both
2440,695.0,GPE,Fairyland,8.0,the_fairy_book,3.0,1119,10,the_blue_fairy_book,noun.location,2,both
2441,4376.0,LOC,Fairyland,8.0,the_green_fairy_book,1.0,1119,10,the_blue_fairy_book,noun.location,2,both
2442,693.0,GPE,Fairyland,8.0,fairy_realm,2.0,1120,10,the_fairy_book,noun.location,4,both
2443,694.0,GPE,Fairyland,8.0,the_blue_fairy_book,2.0,1120,10,the_fairy_book,noun.location,4,both
2444,695.0,GPE,Fairyland,8.0,the_fairy_book,3.0,1120,10,the_fairy_book,noun.location,4,both
2445,4376.0,LOC,Fairyland,8.0,the_green_fairy_book,1.0,1120,10,the_fairy_book,noun.location,4,both
2446,693.0,GPE,Fairyland,8.0,fairy_realm,2.0,1121,10,the_green_fairy_book,noun.location,2,both
2447,694.0,GPE,Fairyland,8.0,the_blue_fairy_book,2.0,1121,10,the_green_fairy_book,noun.location,2,both
2448,695.0,GPE,Fairyland,8.0,the_fairy_book,3.0,1121,10,the_green_fairy_book,noun.location,2,both
2449,4376.0,LOC,Fairyland,8.0,the_green_fairy_book,1.0,1121,10,the_green_fairy_book,noun.location,2,both
2450,693.0,GPE,Fairyland,8.0,fairy_realm,2.0,1122,10,the_red_fairy_book,noun.location,1,both
2451,694.0,GPE,Fairyland,8.0,the_blue_fairy_book,2.0,1122,10,the_red_fairy_book,noun.location,1,both
2452,695.0,GPE,Fairyland,8.0,the_fairy_book,3.0,1122,10,the_red_fairy_book,noun.location,1,both
2453,4376.0,LOC,Fairyland,8.0,the_green_fairy_book,1.0,1122,10,the_red_fairy_book,noun.location,1,both
2454,,,Faithful,,,,1123,4,the_thousand_and_one_nights,noun.group,4,right_only
2455,,,Faithful Goblin,,,,1124,1,fairy_circles,noun.location,1,right_only
2456,,,Falaise,,,,1125,1,the_fairy_mythology,noun.location,1,right_only
2457,697.0,GPE,Famagosta,13.0,the_fairy_book,9.0,1126,14,the_fairy_book,noun.location,10,both
2458,698.0,GPE,Famagosta,13.0,the_grey_fairy_book,4.0,1126,14,the_fairy_book,noun.location,10,both
2459,697.0,GPE,Famagosta,13.0,the_fairy_book,9.0,1127,14,the_grey_fairy_book,noun.location,4,both
2460,698.0,GPE,Famagosta,13.0,the_grey_fairy_book,4.0,1127,14,the_grey_fairy_book,noun.location,4,both
2461,,,Family Herald,,,,1128,1,fairy_realm,noun.group,1,right_only
2462,699.0,GPE,Fanfaronade,2.0,the_red_fairy_book,2.0,1129,4,the_red_fairy_book,noun.location,4,both
2463,700.0,GPE,Fannet,4.0,fairy_and_folk_tales_of_the_irish_peasantry,4.0,1130,2,fairy_and_folk_tales_of_the_irish_peasantry,noun.location,2,both
2464,,,Far,,,,1131,2,the_crimson_fairy_book,noun.location,1,right_only
2465,,,Far,,,,1132,2,the_yellow_fairy_book,noun.location,1,right_only
2466,4378.0,LOC,Far Darrig,2.0,fairy_and_folk_tales_of_the_irish_peasantry,2.0,1133,2,fairy_and_folk_tales_of_the_irish_peasantry,noun.location,2,both
2467,701.0,GPE,Farda - Kinbras,4.0,the_green_fairy_book,3.0,1134,3,the_green_fairy_book,noun.location,3,both
2468,4382.0,LOC,Farda - Kinbras,4.0,the_green_fairy_book,1.0,1134,3,the_green_fairy_book,noun.location,3,both
2469,,,Faries hight,,,,1135,1,the_fairy_mythology,noun.location,1,right_only
2470,,,Farmyard Journal,,,,1136,1,evening_at_home,noun.group,1,right_only
2471,,,Fary,,,,1137,1,the_fairy_mythology,noun.location,1,right_only
2472,,,Fate,,,,1138,4,the_blue_fairy_book,noun.location,1,right_only
2473,,,Fate,,,,1139,4,the_brown_fairy_book,noun.location,1,right_only
2474,,,Fate,,,,1140,4,the_grey_fairy_book,noun.location,1,right_only
2475,,,Fate,,,,1141,4,the_olive_fairy_book,noun.location,1,right_only
2476,,,Fatherland,,,,1142,1,fairy_circles,noun.location,1,right_only
2477,,,Feinen land,,,,1143,1,the_fairy_mythology_preface,noun.location,1,right_only
2478,4384.0,LOC,Fernan Caballaro,1.0,the_brown_fairy_book,1.0,1144,1,the_brown_fairy_book,noun.location,1,both
2479,,,Fernan Caballero,,,,1145,2,the_orange_fairy_book,noun.location,2,right_only
2480,706.0,GPE,Feroes,1.0,the_fairy_mythology,1.0,1146,5,the_fairy_mythology,noun.location,5,both
2481,709.0,GPE,Fiachra,2.0,more_celtic_fairy_tales,2.0,1147,1,more_celtic_fairy_tales,noun.location,1,both
2482,,,Field,,,,1148,1,indian_fairy_tales,noun.location,1,right_only
2483,,,Fields,,,,1149,5,the_olive_fairy_book,noun.location,5,right_only
2484,,,Fiery Hair,,,,1150,1,celtic_fairy_tales,noun.location,1,right_only
2485,710.0,GPE,Fife,1.0,popular_tales_from_the_norse_preface,1.0,1151,1,popular_tales_from_the_norse_preface,noun.location,1,both
2486,711.0,GPE,Finland,14.0,the_blue_fairy_book,7.0,1152,18,the_blue_fairy_book,noun.location,7,both
2487,712.0,GPE,Finland,14.0,the_crimson_fairy_book_preface,1.0,1152,18,the_blue_fairy_book,noun.location,7,both
2488,713.0,GPE,Finland,14.0,the_fairy_mythology,1.0,1152,18,the_blue_fairy_book,noun.location,7,both
2489,714.0,GPE,Finland,14.0,the_lilac_fairy_book,1.0,1152,18,the_blue_fairy_book,noun.location,7,both
2490,715.0,GPE,Finland,14.0,the_pink_fairy_book,3.0,1152,18,the_blue_fairy_book,noun.location,7,both
2491,716.0,GPE,Finland,14.0,the_yellow_fairy_book,1.0,1152,18,the_blue_fairy_book,noun.location,7,both
2492,711.0,GPE,Finland,14.0,the_blue_fairy_book,7.0,1153,18,the_crimson_fairy_book_preface,noun.location,1,both
2493,712.0,GPE,Finland,14.0,the_crimson_fairy_book_preface,1.0,1153,18,the_crimson_fairy_book_preface,noun.location,1,both
2494,713.0,GPE,Finland,14.0,the_fairy_mythology,1.0,1153,18,the_crimson_fairy_book_preface,noun.location,1,both
2495,714.0,GPE,Finland,14.0,the_lilac_fairy_book,1.0,1153,18,the_crimson_fairy_book_preface,noun.location,1,both
2496,715.0,GPE,Finland,14.0,the_pink_fairy_book,3.0,1153,18,the_crimson_fairy_book_preface,noun.location,1,both
2497,716.0,GPE,Finland,14.0,the_yellow_fairy_book,1.0,1153,18,the_crimson_fairy_book_preface,noun.location,1,both
2498,711.0,GPE,Finland,14.0,the_blue_fairy_book,7.0,1154,18,the_fairy_mythology,noun.location,1,both
